PolicyId,LineOfBusiness,PolicyTermStartDate,PolicyTermEndDate,CoverageDetails,MonthlyPaymentAmount,Premium,RenewalDate,PaymentPlan,DueDate,PolicyStatus,CustomerId
8236031009,fire,2024-04-09,2024-09-02 07:00:45.865862,Candidate well with tax.,51.73,2455.57,2025-05-22,annual,2024-06-03,active,RH8ZRDO5U9
1015734722,auto,2024-01-04,2024-08-25 22:28:57.401389,Yet court exist specific water side church future.,129.12,2395.9,2025-01-06,monthly,2024-06-03,active,ZHKXOVC0L3
8253555773,fire,2024-03-23,2024-08-27 00:51:19.958961,Poor feeling lot show.,270.42,1713.95,2025-05-13,annual,2024-06-02,active,ZHKXOVC0L3
2818553173,auto,2024-05-07,2024-08-23 21:48:02.633277,Help nation eye price.,117.39,1985.11,2025-02-21,quarterly,2024-06-05,active,R5RLL5U796
7497809953,fire,2024-05-21,2024-08-26 20:04:11.764814,Everything lawyer themselves soldier common city.,72.36,2648.16,2025-06-07,annual,2024-06-03,expired,R5RLL5U796
731041278,auto,2024-03-05,2024-08-11 04:06:47.175921,Action main skill people exactly public campaign only.,158.86,1305.7,2025-05-11,monthly,2024-06-06,active,N33XHE6D5D
1832619983,fire,2024-02-28,2024-08-24 20:37:11.454729,Front now answer green.,90.53,2146.62,2025-05-02,quarterly,2024-06-02,active,N33XHE6D5D
9065390493,auto,2024-04-13,2024-08-21 18:40:34.080962,Scene open among forward turn let first.,142.07,3315.41,2025-02-20,annual,2024-06-03,active,66XAM14W9O
7356884986,fire,2024-05-19,2024-09-05 23:55:14.448954,Itself upon rather account play baby defense.,224.98,2483.73,2025-01-24,quarterly,2024-06-02,active,66XAM14W9O
2795682127,auto,2024-05-10,2024-08-23 21:45:43.663848,Six voice away oil anyone crime material anything.,162.93,1363.61,2025-01-31,quarterly,2024-06-05,active,S4TDE7A3CU
3818302064,fire,2024-03-10,2024-08-16 02:55:42.935979,Represent source remain continue side color this.,231.23,2718.07,2025-05-13,quarterly,2024-06-01,active,S4TDE7A3CU
1355418896,auto,2024-02-08,2024-08-10 09:45:40.204236,Let morning off prevent pick clearly country.,71.8,2452.76,2025-02-04,annual,2024-06-03,active,G7Y6KXR6OI
1459191391,fire,2024-02-06,2024-09-08 02:10:46.950875,Station wall assume account seven picture.,65.28,2064.89,2025-02-05,quarterly,2024-06-03,active,G7Y6KXR6OI
1704562085,auto,2024-05-21,2024-08-30 02:38:29.160004,Whose interview day step lose body.,121.55,2253.45,2025-02-07,quarterly,2024-06-03,active,BJ19NSJOER
6710041663,fire,2024-01-15,2024-08-27 00:14:34.139633,This write inside people.,100.45,2081.22,2025-01-07,monthly,2024-06-06,active,BJ19NSJOER
4356948401,auto,2024-05-05,2024-08-20 19:44:04.785073,Model rock whose some.,200.86,1151.64,2025-06-02,quarterly,2024-06-01,active,CI9GTA0NBS
6731317239,fire,2024-04-22,2024-08-16 03:43:58.982484,Else fill appear enough quality tend manager.,283.51,1484.14,2025-05-24,monthly,2024-06-02,active,CI9GTA0NBS
7368665435,auto,2024-04-18,2024-09-02 14:12:38.613686,Itself black smile up heart director increase.,122.42,2537.03,2025-02-17,monthly,2024-06-04,active,357J3A5T3D
5362339434,fire,2024-01-17,2024-09-03 06:58:46.973622,Culture always young tax get form establish.,260.4,2099.35,2025-04-29,monthly,2024-06-08,active,357J3A5T3D
3291461474,auto,2024-01-13,2024-09-04 12:49:49.761512,Nature gas defense under computer.,225.17,794.42,2025-03-30,quarterly,2024-06-06,active,LPBL2F47PF
7043246938,fire,2024-04-04,2024-08-15 09:59:47.344391,Prepare than whatever common beat religious rise.,100.69,1893.47,2025-02-01,monthly,2024-06-07,active,LPBL2F47PF
5206501865,auto,2024-01-04,2024-08-14 06:37:47.897645,Those out example off big entire support.,182.13,2063.06,2025-05-14,monthly,2024-06-04,active,98I8I6ZG07
305092724,fire,2024-01-15,2024-08-18 11:33:30.743221,Write allow business.,103.74,2939.66,2025-06-02,annual,2024-06-05,active,98I8I6ZG07
2316903401,auto,2024-02-14,2024-09-05 01:50:38.249627,In and indeed move.,85.6,3402.58,2025-01-03,quarterly,2024-06-06,active,QRBGSRGOLT
7415746563,fire,2024-02-07,2024-08-17 11:12:36.745450,Account campaign particularly cause relationship campaign free.,290.32,3382.77,2025-02-24,annual,2024-06-05,active,QRBGSRGOLT
6853233983,auto,2024-05-09,2024-08-25 00:46:58.975767,Study couple white.,290.17,1131.94,2025-04-28,quarterly,2024-06-08,active,Z55EMNTLMG
2438545409,fire,2024-02-24,2024-08-10 08:51:52.251177,Home knowledge weight country music.,53.22,1656.01,2025-02-02,annual,2024-06-01,active,Z55EMNTLMG
7631683579,auto,2024-01-26,2024-09-05 13:52:38.496846,By these event yourself he.,222.33,789.53,2025-04-05,monthly,2024-06-03,active,6UVV150ZS3
4391815964,fire,2024-01-15,2024-08-27 01:18:08.320160,Buy will west.,154.57,827.68,2025-03-05,annual,2024-06-03,active,6UVV150ZS3
9691146795,auto,2024-05-19,2024-08-11 10:31:06.910974,Career her experience nothing capital.,70.71,2683.77,2025-04-09,monthly,2024-06-06,active,HEC9UGAST1
3785438580,fire,2024-01-10,2024-08-13 00:03:00.185224,Leg important daughter feel.,247.23,3270.54,2025-01-14,annual,2024-06-04,active,HEC9UGAST1
1007113352,auto,2024-03-14,2024-08-21 03:26:20.863606,Imagine describe walk drug hotel fact anything.,189.6,717.3,2025-04-04,quarterly,2024-06-08,active,MH9CYT1GU2
782468504,fire,2024-02-24,2024-08-15 04:15:50.884279,Street election staff.,282.29,603.17,2025-01-17,quarterly,2024-06-06,active,MH9CYT1GU2
4458492621,auto,2024-06-06,2024-08-23 17:33:58.233426,Politics half machine piece focus style.,137.82,1080.03,2025-01-04,annual,2024-06-07,active,OY4GDIEPAV
2541660919,fire,2024-02-22,2024-08-15 16:08:48.411261,Top pass though drop enter.,200.82,2007.88,2025-01-19,annual,2024-06-04,active,OY4GDIEPAV
9896291700,auto,2024-03-11,2024-08-25 13:31:36.056208,Popular give require tonight figure yes.,67.08,1661.45,2025-03-02,monthly,2024-06-04,active,YOBF2KHHZG
5221396464,fire,2024-02-23,2024-08-24 22:48:09.240101,Machine difference anyone.,192.62,909.69,2025-03-19,quarterly,2024-06-06,active,YOBF2KHHZG
3772429826,auto,2024-06-01,2024-08-29 02:10:59.036199,Color popular responsibility treat development purpose.,80.86,2463.88,2025-02-10,quarterly,2024-06-03,active,0KPOA9EMUV
1306370121,fire,2024-01-25,2024-08-28 16:19:52.029328,Assume often stock possible.,130.51,1805.38,2025-05-10,quarterly,2024-06-02,active,0KPOA9EMUV
4746582852,auto,2024-01-22,2024-08-13 04:39:15.396253,Central we start concern.,297.98,2133.77,2025-05-11,quarterly,2024-06-04,active,NU7BVT4KNM
7412731410,fire,2024-04-19,2024-08-24 06:10:32.340394,Home wonder north data attention though.,160.35,3168.05,2025-04-13,annual,2024-06-05,active,NU7BVT4KNM
2926058278,auto,2024-05-01,2024-08-22 08:05:40.269461,Why officer everybody series war charge.,276.12,1554.34,2025-01-21,quarterly,2024-06-05,active,6Q6KLWVPIC
4751946003,fire,2024-03-03,2024-08-23 23:32:26.432499,Daughter chance mind sort up base successful unit.,75.36,1559.46,2025-04-13,quarterly,2024-06-07,active,6Q6KLWVPIC
7283729898,auto,2024-03-09,2024-08-31 19:21:33.660253,Source society chair.,293.63,2937.82,2025-04-16,monthly,2024-06-06,active,IZQ1EMEUG8
3674080474,fire,2024-03-15,2024-09-03 04:19:38.916288,Big finally college skin production idea.,299.86,2643.57,2025-04-03,monthly,2024-06-04,active,IZQ1EMEUG8
7248636914,auto,2024-02-06,2024-08-10 01:45:53.158399,Nor change physical born agency.,247.0,1670.34,2025-01-15,quarterly,2024-06-08,active,5DEBXTXEZE
1748511531,fire,2024-02-01,2024-08-15 07:30:04.837051,Ability daughter structure strong sense.,113.59,1453.02,2025-05-05,monthly,2024-06-05,active,5DEBXTXEZE
107009720,auto,2024-03-15,2024-08-28 07:42:09.815708,Show campaign father room or property over.,144.13,2328.67,2025-04-21,monthly,2024-06-08,active,X4PEYXRNLD
6532199362,fire,2024-02-23,2024-08-24 20:12:18.437528,Three nor single smile company relationship population trouble.,68.82,1325.98,2025-03-29,quarterly,2024-06-07,active,X4PEYXRNLD
1360777868,auto,2024-02-25,2024-08-27 00:01:40.582667,Road understand cell grow science difficult deal give.,160.32,1806.11,2025-02-28,annual,2024-06-04,active,XQYL30NALY
866332566,fire,2024-05-24,2024-08-16 17:46:26.185428,Nature news she.,217.62,2841.4,2025-05-18,annual,2024-06-08,active,XQYL30NALY
9955232105,auto,2024-05-03,2024-09-02 04:48:15.482738,Region when personal pick understand.,274.8,2472.79,2025-06-04,monthly,2024-06-01,active,IASB60CQJ5
3057851910,fire,2024-04-03,2024-08-27 14:36:24.270907,Body condition establish him.,111.49,2435.49,2025-03-26,quarterly,2024-06-07,active,IASB60CQJ5
6496570079,auto,2024-01-27,2024-08-15 11:02:39.972581,Why degree data.,257.7,1370.62,2025-04-15,annual,2024-06-01,active,O5ZZ6NT5HM
7470269212,fire,2024-02-07,2024-08-12 08:07:14.423907,Election community benefit.,167.2,856.72,2025-01-15,annual,2024-06-02,active,O5ZZ6NT5HM
78168537,auto,2024-04-21,2024-08-12 05:56:58.155666,Wish apply trouble or analysis agency ever.,155.37,1964.24,2025-04-24,annual,2024-06-04,active,UG45HQIJL9
2474006869,fire,2024-04-12,2024-08-27 21:05:34.111274,Offer much see.,294.04,860.64,2025-02-17,annual,2024-06-03,active,UG45HQIJL9
8836221468,auto,2024-02-09,2024-08-14 20:52:15.554574,Their physical even realize themselves among.,119.83,1558.87,2025-04-21,annual,2024-06-03,active,GJ2JGQYSZR
3951693120,fire,2024-01-26,2024-08-29 20:01:29.334417,Admit sound stay land they.,141.39,2784.42,2025-05-24,quarterly,2024-06-07,active,GJ2JGQYSZR
998069000,auto,2024-03-03,2024-08-22 15:42:55.759392,Choice majority general time movie minute home.,128.97,611.2,2025-04-06,annual,2024-06-05,active,HYQ2X98EBR
3235651387,fire,2024-02-11,2024-08-24 22:06:19.859560,Far prevent environment allow while the loss mind.,238.8,3278.69,2025-01-18,quarterly,2024-06-04,active,HYQ2X98EBR
4259425760,auto,2024-04-11,2024-08-29 10:25:38.239090,Team high step.,93.38,2641.81,2025-06-03,annual,2024-06-05,active,ER8K8J02FA
2634227978,fire,2024-03-04,2024-09-08 03:28:25.288672,Raise main yourself expect.,220.56,1578.06,2025-05-14,monthly,2024-06-05,active,ER8K8J02FA
2088782327,auto,2024-04-01,2024-08-25 09:29:49.451783,Head raise a.,61.41,2465.94,2025-04-13,annual,2024-06-07,active,M198MDFG9W
4072910984,fire,2024-05-19,2024-08-23 04:46:50.517535,Bring soon pressure.,274.08,3567.38,2025-02-16,monthly,2024-06-01,active,M198MDFG9W
190173568,auto,2024-04-09,2024-08-20 12:13:30.709672,My stop sit likely every reveal dog.,215.16,1229.21,2025-02-03,annual,2024-06-05,active,1LIR52ONVX
6042425248,fire,2024-03-18,2024-08-21 12:09:46.662775,Heavy describe choose team factor agreement room.,129.78,1153.97,2025-03-11,monthly,2024-06-08,active,1LIR52ONVX
6787326190,auto,2024-01-15,2024-08-19 23:56:45.496266,Son line go laugh into.,191.93,1174.47,2025-04-08,annual,2024-06-05,active,DB2QI8CTIX
6451999081,fire,2024-01-03,2024-08-30 21:34:43.531908,New environment report give music beat.,250.22,2914.79,2025-02-01,monthly,2024-06-02,active,DB2QI8CTIX
1923323136,auto,2024-05-16,2024-09-01 17:58:30.851039,Item knowledge decision officer Democrat mother.,244.99,3518.96,2025-06-01,quarterly,2024-06-07,active,GB6CSOK170
3904251238,fire,2024-05-20,2024-08-11 05:48:13.114115,Reveal friend party picture.,184.57,1080.94,2025-04-21,annual,2024-06-04,active,GB6CSOK170
3959269739,auto,2024-03-02,2024-08-10 07:35:24.601799,Goal challenge individual.,278.52,3520.73,2025-02-01,quarterly,2024-06-01,active,R3AES0BQRA
5808651258,fire,2024-03-20,2024-08-16 00:52:17.742641,Southern much piece drive long among ready region.,266.94,3491.19,2025-05-07,monthly,2024-06-04,active,R3AES0BQRA
5633724252,auto,2024-04-27,2024-09-02 21:31:24.888447,International although agency matter approach American.,272.57,1988.53,2025-04-08,monthly,2024-06-01,active,HPSBK1H9OQ
1387167433,fire,2024-01-05,2024-08-11 14:10:20.096968,Set soldier white western participant able.,70.37,819.96,2025-02-08,quarterly,2024-06-04,active,HPSBK1H9OQ
8925316314,auto,2024-04-27,2024-08-24 13:23:34.571193,Player official media establish southern.,170.34,2515.38,2025-05-15,annual,2024-06-03,active,AVGA18RCZ1
2488121792,fire,2024-02-02,2024-08-11 06:46:59.370285,Run at amount behind there on.,210.52,3236.15,2025-01-15,annual,2024-06-02,active,AVGA18RCZ1
4300266115,auto,2024-05-18,2024-09-01 02:52:37.242483,Boy only white movie.,145.2,2380.01,2025-02-04,annual,2024-06-08,active,BEOG53VLQM
6969211357,fire,2024-01-18,2024-08-31 12:26:43.594397,Forget always more create.,179.63,2668.7,2025-04-14,monthly,2024-06-08,active,BEOG53VLQM
3653001797,auto,2024-05-30,2024-08-30 01:17:23.862187,Ten idea believe true third herself hair oil.,257.49,3497.04,2025-02-06,monthly,2024-06-08,active,17TPSY1KP6
7957084873,fire,2024-05-04,2024-08-27 08:42:56.039872,This body poor.,269.65,2756.6,2025-01-28,monthly,2024-06-07,active,17TPSY1KP6
6585546891,auto,2024-03-06,2024-08-29 05:00:53.226718,Begin it go southern shake Mr use.,213.5,3556.31,2025-05-18,quarterly,2024-06-08,active,SNL6UCUAT0
3604990446,fire,2024-03-24,2024-08-19 14:48:34.361024,Budget special skin.,260.43,3102.79,2025-01-08,quarterly,2024-06-02,active,SNL6UCUAT0
5095139767,auto,2024-03-04,2024-09-06 09:51:13.908652,Light front several.,124.12,2492.79,2025-04-03,monthly,2024-06-05,active,2W6FUH09TW
4714005769,fire,2024-04-10,2024-09-06 02:43:11.293602,Natural Republican note sport crime.,287.44,1664.31,2025-06-07,annual,2024-06-05,active,2W6FUH09TW
9136265473,auto,2024-06-02,2024-08-20 18:47:57.919194,Shoulder foot water nothing.,200.16,2028.53,2025-03-23,annual,2024-06-06,active,L4M1ZU39MH
4878450414,fire,2024-02-27,2024-09-02 20:31:21.906565,Strong north vote why.,238.67,3216.01,2025-02-22,annual,2024-06-01,active,L4M1ZU39MH
8830672724,auto,2024-02-23,2024-09-07 20:29:18.041423,Social see believe leg heart middle.,88.87,942.96,2025-01-24,annual,2024-06-06,active,XGBHSP2UBO
6719473039,fire,2024-03-03,2024-08-30 07:14:10.387528,Foreign open find by.,281.17,3479.97,2025-03-08,quarterly,2024-06-07,active,XGBHSP2UBO
1238806580,auto,2024-03-23,2024-08-23 01:54:07.492309,Never mind start rest land direction happen.,94.87,2875.39,2025-02-28,annual,2024-06-08,active,ZH211K2CDB
3120799946,fire,2024-04-08,2024-08-16 02:33:34.748519,Public summer pretty way worry I.,64.36,3327.91,2025-01-22,annual,2024-06-06,active,ZH211K2CDB
6608242816,auto,2024-01-04,2024-09-01 17:00:49.575578,Memory particular beat order mean bed feeling.,202.89,2704.16,2025-05-01,monthly,2024-06-04,active,FIVQTWBN7R
6524434354,fire,2024-01-02,2024-08-22 15:55:25.252402,Information tell hold good seven.,149.82,1015.69,2025-02-20,quarterly,2024-06-07,active,FIVQTWBN7R
6629651341,auto,2024-01-08,2024-08-22 01:08:30.132780,Five want bag result buy morning often.,197.23,3447.66,2025-05-09,monthly,2024-06-08,active,CSDGW1061U
9396690674,fire,2024-06-05,2024-08-11 17:14:35.497042,Doctor start cell put nearly there special.,259.55,2621.61,2025-01-23,quarterly,2024-06-01,active,CSDGW1061U
9204668535,auto,2024-05-29,2024-08-19 23:18:35.026950,Itself school key kitchen war sport sign.,217.5,2300.91,2025-05-17,annual,2024-06-02,active,YIELRMMV5A
1925703030,fire,2024-03-07,2024-08-22 10:53:33.480035,Never writer trade structure hair expert look.,296.05,2352.92,2025-02-25,quarterly,2024-06-03,active,YIELRMMV5A
9286970424,auto,2024-03-07,2024-08-24 02:39:04.553939,Mean carry quite author movie.,60.44,1186.43,2025-01-28,quarterly,2024-06-02,active,789AFFZE5K
343038473,fire,2024-03-23,2024-08-19 13:08:01.995271,Open kid alone hand.,296.95,673.61,2025-03-23,quarterly,2024-06-06,active,789AFFZE5K
1153133781,auto,2024-02-07,2024-08-13 17:45:36.680776,Bag simple truth return.,165.99,1472.39,2025-03-15,monthly,2024-06-05,active,Q6U4CF93ES
4206762523,fire,2024-03-12,2024-09-02 03:45:43.246510,And safe modern finally send clearly.,239.37,3119.77,2025-05-17,annual,2024-06-04,active,Q6U4CF93ES
6037233029,auto,2024-01-20,2024-09-07 01:27:49.750209,Agree why east into table skill.,54.11,1206.26,2025-05-20,quarterly,2024-06-02,active,OGJ80LOXJJ
3818947371,fire,2024-01-26,2024-09-04 14:58:50.543094,Region happen myself energy.,264.21,1461.45,2025-01-12,monthly,2024-06-03,active,OGJ80LOXJJ
3974056327,auto,2024-04-05,2024-08-11 09:13:16.413442,Truth black believe since.,150.0,3163.08,2025-05-21,quarterly,2024-06-05,active,1Q04JAFN14
1484862767,fire,2024-01-24,2024-09-03 18:10:58.784002,Short them develop detail help range.,136.62,1306.7,2025-03-25,annual,2024-06-03,active,1Q04JAFN14
4291611861,auto,2024-02-26,2024-08-18 12:22:34.352663,Instead sit maintain strong.,296.74,2014.56,2025-03-02,quarterly,2024-06-04,active,J4150M68R7
3114009175,fire,2024-01-13,2024-09-04 04:52:50.533154,Value start detail behavior.,171.23,2379.73,2025-03-05,quarterly,2024-06-06,active,J4150M68R7
8851831439,auto,2024-05-24,2024-08-14 07:12:19.834306,Rich and support road.,275.35,3507.17,2025-04-16,annual,2024-06-08,active,NKBL7LQ43H
8998984296,fire,2024-05-06,2024-09-04 18:00:57.215336,Difference itself people at plant prevent.,126.67,1605.24,2025-04-02,quarterly,2024-06-08,active,NKBL7LQ43H
2438708722,auto,2024-03-15,2024-08-18 13:38:24.487469,Help very feeling me require.,233.81,3019.01,2025-05-13,annual,2024-06-05,active,YLVJ3EGETS
7854813250,fire,2024-02-28,2024-08-26 12:34:14.889952,Happy lay near support director computer manager.,224.14,708.56,2025-01-09,annual,2024-06-07,active,YLVJ3EGETS
542991882,auto,2024-05-31,2024-08-29 01:40:51.815407,Bill make magazine long woman country.,96.75,2883.49,2025-06-03,annual,2024-06-08,active,IJ1MSUGD5I
9705204198,fire,2024-05-28,2024-08-16 00:54:06.391237,Color provide but street.,140.6,1153.27,2025-04-24,monthly,2024-06-04,active,IJ1MSUGD5I
6071271470,auto,2024-04-13,2024-08-12 21:13:50.872711,Finally still per sport involve seven story.,166.11,3209.91,2025-05-01,monthly,2024-06-03,active,CUKYEW7F2P
2390236474,fire,2024-03-27,2024-08-25 09:05:41.972170,Defense federal brother six positive.,287.2,3114.17,2025-03-25,quarterly,2024-06-04,active,CUKYEW7F2P
6959050702,auto,2024-03-20,2024-08-24 18:21:23.204636,Forget laugh speech hospital section although.,166.15,2782.56,2025-05-25,quarterly,2024-06-05,active,6NXN9XC6JS
3037285966,fire,2024-03-20,2024-08-16 09:18:36.263186,So word big capital.,194.86,2483.6,2025-01-16,monthly,2024-06-03,active,6NXN9XC6JS
3853451314,auto,2024-03-05,2024-08-13 13:53:44.764310,Election social play camera air rule want.,161.1,2396.29,2025-03-21,quarterly,2024-06-06,active,RACJOHPREM
8561976778,fire,2024-05-07,2024-08-22 07:08:32.228723,Eye protect idea between speak short person any.,79.69,2075.08,2025-05-07,quarterly,2024-06-05,active,RACJOHPREM
2676876030,auto,2024-01-29,2024-08-24 03:58:46.849959,History business instead see because.,181.74,3437.98,2025-03-07,quarterly,2024-06-04,active,SSI6K32Z2U
8886494827,fire,2024-05-13,2024-08-16 08:34:13.377703,Fine cup throw paper.,273.47,1062.13,2025-04-07,monthly,2024-06-06,active,SSI6K32Z2U
1888749237,auto,2024-06-07,2024-09-03 17:19:52.441020,Sense into who production.,124.04,2796.24,2025-05-17,annual,2024-06-01,active,95ELY8RTT2
9129969489,fire,2024-01-16,2024-09-03 17:56:47.335897,Practice yet talk test send line.,119.3,1189.39,2025-02-17,annual,2024-06-03,active,95ELY8RTT2
6203497973,auto,2024-02-14,2024-08-22 19:31:23.454689,Onto talk special skill room require.,55.23,3184.05,2025-03-13,monthly,2024-06-04,active,2LMT4Z8RXA
2496433350,fire,2024-04-11,2024-09-08 11:10:26.488790,None anyone clear decade and different itself.,52.84,3400.77,2025-05-23,quarterly,2024-06-06,active,2LMT4Z8RXA
7225091498,auto,2024-01-26,2024-08-21 21:28:03.198565,Expert him half cold natural population production start.,153.28,1132.98,2025-04-16,annual,2024-06-02,active,YLD1ZG0LKJ
7481032999,fire,2024-03-12,2024-08-26 18:30:29.003919,Plan fly parent their television prove and.,66.05,1190.82,2025-01-31,monthly,2024-06-03,active,YLD1ZG0LKJ
2810280013,auto,2024-01-24,2024-08-26 17:13:07.563149,Another as positive common.,58.32,1711.16,2025-01-23,quarterly,2024-06-04,active,EUTRWYRI9H
5397548009,fire,2024-04-30,2024-08-17 22:35:23.217806,Around gun prepare image ground prevent.,53.03,1411.77,2025-01-07,quarterly,2024-06-01,active,EUTRWYRI9H
4815669704,auto,2024-05-05,2024-09-08 16:24:00.229295,Among network growth no person hope.,161.24,3012.54,2025-01-19,monthly,2024-06-04,active,ZQX4PA0I0K
4569708951,fire,2024-03-11,2024-08-10 09:39:30.835061,Role go garden already all arrive price reason.,155.69,754.23,2025-01-03,annual,2024-06-04,active,ZQX4PA0I0K
1143945948,auto,2024-05-25,2024-09-02 17:45:56.606377,Rise wear quite those five point know.,213.74,2589.93,2025-04-01,monthly,2024-06-07,active,WWNUCWLPE8
2618275792,fire,2024-03-30,2024-08-25 15:52:13.121696,Man whose total case heavy seven body.,221.11,2128.92,2025-03-26,quarterly,2024-06-03,active,WWNUCWLPE8
1376449354,auto,2024-02-22,2024-08-23 02:00:45.135932,Provide difference deep culture company team bad.,142.98,2070.03,2025-02-05,monthly,2024-06-06,active,HOE88CUHPJ
9768607550,fire,2024-05-27,2024-08-24 19:32:24.214117,Management response where.,181.83,938.4,2025-03-16,annual,2024-06-07,active,HOE88CUHPJ
8226640809,auto,2024-02-27,2024-08-13 15:45:28.470656,Back whom various.,286.12,1567.7,2025-03-15,monthly,2024-06-07,active,7NKH1QO8IJ
1413155442,fire,2024-05-24,2024-08-30 19:49:42.080201,Federal clearly state miss.,158.95,2642.49,2025-02-23,annual,2024-06-03,active,7NKH1QO8IJ
4267565347,auto,2024-06-06,2024-08-19 21:55:32.371401,Cause down ahead mind on.,221.16,3226.34,2025-02-08,quarterly,2024-06-07,active,JWISI2DTW2
6388100495,fire,2024-04-03,2024-08-11 00:25:35.140712,Late country because indicate knowledge level fact.,219.72,2635.38,2025-02-27,quarterly,2024-06-01,active,JWISI2DTW2
1893181835,auto,2024-04-15,2024-09-02 11:46:03.482032,Office we product their.,59.56,2694.84,2025-02-16,quarterly,2024-06-02,active,KK032ZL317
756560464,fire,2024-04-15,2024-09-07 19:41:48.512280,Military artist draw student.,168.82,2002.79,2025-03-13,quarterly,2024-06-05,active,KK032ZL317
5255605707,auto,2024-02-12,2024-08-10 10:56:05.869954,Speech however bag character board.,273.23,1012.63,2025-01-09,quarterly,2024-06-03,active,IG5ZP3US9O
2168441104,fire,2024-02-26,2024-08-14 15:50:57.128232,Right not show candidate.,101.4,2985.52,2025-03-21,quarterly,2024-06-02,active,IG5ZP3US9O
8193047754,auto,2024-02-20,2024-08-30 01:27:37.447685,Might understand remain physical generation.,279.97,2262.12,2025-01-21,monthly,2024-06-04,active,7SZGN9TPQL
7206000913,fire,2024-02-29,2024-08-31 09:34:22.065921,Office citizen store reason any instead prepare.,251.26,2052.11,2025-05-18,monthly,2024-06-04,active,7SZGN9TPQL
4055423455,auto,2024-03-13,2024-08-19 08:10:16.773401,Since perform despite agent nation.,262.51,1953.0,2025-04-25,annual,2024-06-01,active,HIQ8ODCJBA
6355729189,fire,2024-01-01,2024-08-30 03:53:46.275816,Including require natural price beautiful than.,148.24,1931.12,2025-04-11,quarterly,2024-06-03,active,HIQ8ODCJBA
5369381167,auto,2024-01-26,2024-09-05 20:48:36.781364,Dinner fine guess.,126.48,2448.0,2025-04-23,annual,2024-06-02,active,N7K4PAI714
753832653,fire,2024-06-05,2024-09-04 16:39:51.469102,Raise step after less.,97.86,3119.05,2025-04-03,quarterly,2024-06-03,active,N7K4PAI714
5413335744,auto,2024-01-24,2024-08-18 11:00:27.484383,Every out particularly fly generation.,191.06,1674.89,2025-05-24,annual,2024-06-08,expired,BYIXJEUPQF
9734092404,fire,2024-01-04,2024-08-10 14:43:50.325261,Wait whole other just.,246.88,3169.68,2025-03-15,quarterly,2024-06-07,active,BYIXJEUPQF
